Client	N°Com	Code Produit 		Quantité	Prix Total
____________________________________________________________________
Durant	98001		123		20		1002.50
Durant	98001		988		1		544.00
Durant	98001		344		20		22176.20
Durant	98002		872		5		552.00
Durant	98002		123		12		623.30
Durant	98002		222		20		66762.00
Durant	98003		100		1		727.50
Durant	98003		121		10		7798.00
Dupont	98005		665		13		4267.50
Dupont	98005		333		1		334.00
Dupont	98005		344		20		22176.20
Dupont	98007		223		33		21534.00
Dupont	98007		123		12		623.30
Dupont	98008		323		10		1862.00
Tutu	98009		345		3		22176.20
Tutu	98009		223		32		21534.00
Tutu	98010		920		11		623.30
Tutu	98011		921		8		1862.00
Regis	98012		348		19		22176.20
Regis	98012		229		1		21534.00
Regis	98013		921		1		623.30
Regis	98014		922		10		1862.00
